Description,Amount,Created Time,Original Date,Type
Detergente y Suavizante,"COP 30,000.00","October 14, 2023 9:04 PM",,Discretionary
Audifonos,"COP 60,008.00","October 21, 2023 11:21 PM",,Discretionary
Porthos,"COP 115,000.00","October 22, 2023 1:28 AM",,Discretionary
Revisión Tecnomecánica,"COP 248,000.00","November 4, 2023 4:37 PM",,Sinking
Nazly,"COP 30,000.00","November 6, 2023 8:54 PM",,Discretionary
Café,"COP 16,600.00","November 25, 2023 5:07 PM",,Discretionary
Farmatodo,"COP 200,000.00","November 25, 2023 5:08 PM",,Utilities
Uber,"COP 11,450.00","November 25, 2023 5:08 PM",,Discretionary
Uber,"COP 9,140.00","November 25, 2023 5:09 PM",,Discretionary
Uber,"COP 12,070.00","November 25, 2023 5:10 PM",,Discretionary
Domicilio,"COP 63,550.00","November 25, 2023 5:10 PM",,Discretionary
Domicilio,"COP 79,050.00","November 25, 2023 5:13 PM",,Discretionary
T-Shirt,"COP 81,000.00","November 25, 2023 11:04 PM",,Discretionary
Porthos,"COP 110,000.00","November 26, 2023 12:37 AM",,Discretionary
Martha's Gift,"COP 70,000.00","November 30, 2023 5:32 PM",,Sinking
Devoto,"COP 180,000.00","December 2, 2023 6:32 PM",,Discretionary
Cepillo,"COP 10,000.00","December 2, 2023 6:41 PM",,Discretionary
Dad's Gift,"COP 210,000.00","December 2, 2023 7:42 PM",,Sinking
Cheese Table,"COP 78,000.00","December 8, 2023 12:12 AM",,Discretionary
OpenAI API Usage,"COP 40,000.00","December 8, 2023 11:19 PM",,Discretionary
Taxi,"COP 15,000.00","December 10, 2023 1:20 AM",,Discretionary
Groceries@PriceSmart,"COP 70,500.00","December 10, 2023 5:37 PM",,Utilities
Coffee with Lourdes,"COP 17,300.00","December 16, 2023 9:25 PM",,Discretionary
Cleaning Service,"COP 60,000.00","December 19, 2023 9:00 PM",,Utilities
Dinner With Lourdes (Shawarmas),"COP 50,000.00","December 22, 2023 4:27 PM",,Discretionary
Groceries@Olímpica,"COP 42,000.00","December 23, 2023 3:16 PM",,Utilities
Groceries@D1,"COP 61,000.00","December 23, 2023 3:24 PM",,Utilities
Car's Required Insurance,"COP 871,900.00","December 23, 2023 3:26 PM",,Sinking
Lourdes’ Pills,"COP 50,000.00","December 24, 2023 6:40 AM",,Discretionary
Lourdes’ English Professor,"COP 500,000.00","December 24, 2023 7:43 AM",,Discretionary
Christmas Eve Dinner With Lourdes,"COP 340,000.00","December 24, 2023 5:54 PM",,Discretionary
Cleaning Service,"COP 60,000.00","December 26, 2023 9:00 PM",,Utilities
Notion's Plus Plan,"COP 200,000.00","December 31, 2023 7:28 AM",,Sinking
Lunch@DondeMama (From 2 Days Ago),"COP 80,000.00","December 31, 2023 4:41 PM",,Discretionary
"Sun Blocker ","COP 53,000.00","January 6, 2024 9:17 PM",,Discretionary
Tickets To Carnival Concerts,"COP 650,000.00","January 6, 2024 10:29 PM",,Discretionary
Dinner@Raghbe,"COP 126,000.00","January 7, 2024 12:38 AM",,Discretionary
Administration Service,"COP 318,619.00","January 9, 2024 7:27 AM",,Utilities
Water Service,"COP 120,000.00","January 13, 2024 6:45 AM",,Utilities
Dinner@Porthos,"COP 100,000.00","January 14, 2024 1:10 AM",,Discretionary
Cleaning Service,"COP 60,000.00","January 16, 2024 9:00 PM",,Utilities
Electricity Service,"COP 700,000.00","January 17, 2024 5:34 AM",,Utilities
Dinner@FiorDi,"COP 77,000.00","January 19, 2024 3:37 AM",,Discretionary
New Office Chair,"COP 300,000.00","January 23, 2024 2:22 AM",,Short-term
Lourdes’ Pills,"COP 50,000.00","January 24, 2024 6:45 AM",,Discretionary
Apple One,"COP 83,900.00","January 24, 2024 6:52 AM",,Utilities
TV + Phone + Internet Service,"COP 133,353.00","February 3, 2024 6:56 AM",,Utilities
Carnival Shirt,"COP 90,000.00","February 3, 2024 8:00 PM",,Discretionary
White Shoes,"COP 370,000.00","February 3, 2024 8:01 PM",,Discretionary
Coffee@Loe,"COP 18,000.00","February 3, 2024 8:48 PM",,Discretionary
Administration Service,"COP 350,000.00","February 9, 2024 6:16 AM",,Utilities
AguaArdiente@Moys,"COP 106,000.00","February 11, 2024 1:36 AM",,Discretionary
Water Service,"COP 120,000.00","February 13, 2024 7:16 AM",,Utilities
Cleaning Service,"COP 60,000.00","February 13, 2024 9:00 PM",,Utilities
Apple One,"COP 83,900.00","February 24, 2024 6:34 AM",,Utilities
Lourdes’ English Professor,"COP 670,000.00","February 24, 2024 6:34 AM",,Discretionary
Galleta's Quota,"COP 85,400.00","February 24, 2024 7:44 AM",,Discretionary
Shirt,"COP 25,000.00","February 24, 2024 6:44 PM",,Discretionary
Unified Predial Tax,"COP 2,000,000.00","February 25, 2024 8:22 PM",,Sinking
Vehicular Tax Of Barranquilla,"COP 241,200.00","February 25, 2024 8:22 PM",,Sinking
Galleta's Grooming Kit,"COP 80,000.00","February 25, 2024 8:55 PM",,Discretionary
Groceries@D1,"COP 50,000.00","February 26, 2024 6:41 PM",,Utilities
Le Colate,"COP 38,000.00","March 2, 2024 10:24 PM",,Discretionary
Dinner@Teriyaki,"COP 139,000.00","March 3, 2024 2:20 AM",,Discretionary
Withdrawal@ATm,"COP 200,000.00","March 3, 2024 2:25 AM",,Utilities
Concert Tickets,"COP 1,300,000.00","March 3, 2024 1:45 PM",,Discretionary
YouTube Premium,"COP 26,900.00","March 7, 2024 6:02 AM",,Utilities
Fiber Pills,"COP 40,000.00","March 9, 2024 2:30 PM",,Discretionary
iPhone Swap Difference,"COP 2,000,000.00","March 9, 2024 2:34 PM",,Discretionary
Breakfast@Mimi,"COP 63,261.00","March 10, 2024 3:20 PM",,Discretionary
Groceries@D1,"COP 370,000.00","March 10, 2024 5:19 PM",,Utilities
Virtual Inversion (Predial Tax and Car Taxes),"COP 4,000,000.00","March 11, 2024 1:16 AM",,Sinking
Dinner@Vikings House,"COP 116,000.00","March 17, 2024 3:18 AM",,Discretionary
Credit Card Quota,"COP 48,490.00","March 18, 2024 6:13 AM",,Utilities
Cleaning Service,"COP 60,000.00","March 19, 2024 9:05 PM",,Utilities
Lourdes’ English Professor,"COP 670,000.00","March 24, 2024 6:31 AM",,Discretionary
Groceries@Pricesmart,"COP 41,000.00","March 24, 2024 5:54 PM",,Utilities
Cleaning Service,"COP 60,000.00","March 26, 2024 9:03 PM",,Utilities
Lunch@Crepes&Waffles,"COP 100,000.00","March 30, 2024 7:06 PM",,Discretionary
Shake@SelvaMia,"COP 20,000.00","March 30, 2024 9:19 PM",,Discretionary
TV + Phone + Internet Service,"COP 133,353.00","April 3, 2024 5:25 AM",,Utilities
Lasagnas x2,"COP 36,000.00","April 6, 2024 6:09 PM",,Discretionary
Lourdes Home Water Bomb Fix,"COP 40,000.00","April 6, 2024 6:10 PM",,Utilities
Movie Tickets,"COP 30,000.00","April 10, 2024 2:43 AM",,Discretionary
Water Service,"COP 120,000.00","April 13, 2024 5:31 AM",,Utilities
Deditos@Concert,"COP 40,000.00","April 14, 2024 5:43 AM",,Discretionary
Sodas@Concert,"COP 30,000.00","April 14, 2024 5:44 AM",,Discretionary
Maria del Carmen Gift,"COP 110,000.00","April 15, 2024 2:07 AM",,Sinking
Gas Service,"COP 30,000.00","April 20, 2024 5:00 AM",,Utilities
Lourdes' Pillow,"COP 40,000.00","April 22, 2024 2:01 AM",,Utilities
Supplies@PriceSmart,"COP 90,000.00","April 22, 2024 2:01 AM",,Utilities
Flight To Madrid Tickets,"COP 11,000,000.00","April 22, 2024 2:05 AM",,Short-term
Dinner@Porthos,"COP 160,000.00","April 22, 2024 2:06 AM",,Discretionary
Apple One,"COP 83,900.00","April 24, 2024 5:00 AM",,Utilities
Lourdes’ Pills,"COP 50,000.00","April 24, 2024 5:00 AM",,Discretionary
Supplies@DollarCity,"COP 24,000.00","April 27, 2024 11:18 PM",,Utilities
Pretzels,"COP 11,500.00","April 27, 2024 11:19 PM",,Discretionary
Dinner@Burger King,"COP 80,000.00","April 28, 2024 1:21 AM",,Discretionary
Donation,"COP 25,000.00","April 28, 2024 3:19 AM",,Discretionary
Washing Machine,"COP 2,100,000.00","May 1, 2024 4:18 AM",,Discretionary
Cleaning Service,"COP 60,000.00","May 7, 2024 9:00 PM",,Utilities
Shawarmas,"COP 41,000.00","May 9, 2024 2:56 AM",,Discretionary
Administration Service,"COP 350,000.00","May 9, 2024 5:00 AM",,Utilities
Zoo Visit,"COP 56,000.00","May 10, 2024 2:35 AM",,Discretionary
Didi,"COP 6,670.00","May 10, 2024 2:36 AM",,Discretionary
Fit Choices,"COP 55,300.00","May 10, 2024 2:36 AM",,Discretionary
Dinner@BurgerChef,"COP 96,000.00","May 10, 2024 2:36 AM",,Discretionary
Farmatodo,"COP 27,000.00","May 10, 2024 2:37 AM",,Utilities
Pizza Keto,"COP 38,000.00","May 10, 2024 2:38 AM",,Discretionary
Dinner@Porthos,"COP 140,000.00","May 12, 2024 12:38 AM",,Discretionary
Cleaning Service,"COP 60,000.00","May 14, 2024 9:00 PM",,Utilities
Supplies@D1,"COP 350,000.00","May 15, 2024 6:09 PM",,Utilities
Electricity Service,"COP 700,000.00","May 17, 2024 6:06 AM",,Utilities
T-Shirt,"COP 25,250.00","May 18, 2024 10:51 PM",,Discretionary
Dinner@BuffaloGrill,"COP 140,000.00","May 19, 2024 12:49 AM",,Discretionary
Lourdes’ English Professor,"COP 670,000.00","May 24, 2024 6:38 AM",,Discretionary
Apple One,"COP 83,900.00","May 24, 2024 7:57 AM",,Utilities
Dinner@Matriarca,"COP 267,000.00","May 26, 2024 5:09 AM",,Discretionary
Cleaning Service,"COP 60,000.00","May 28, 2024 9:00 PM",,Utilities
TV + Phone + Internet Service,"COP 133,353.00","June 3, 2024 6:26 AM",,Utilities
Cleaning Service,"COP 60,000.00","June 4, 2024 9:00 PM",,Utilities
Aunt's Gift,"COP 100,000.00","June 8, 2024 4:15 PM",,Sinking
Madrid Tour Bus,"COP 262,636.00","June 8, 2024 4:46 PM",,Short-term
Clothes@Falabella,"COP 50,000.00","June 8, 2024 10:39 PM",,Discretionary
Administration Service,"COP 350,000.00","June 9, 2024 5:07 AM",,Utilities
Supplies@D1,"COP 50,000.00","June 10, 2024 7:27 PM",,Utilities
Cleaning Service,"COP 60,000.00","June 11, 2024 9:00 PM",,Utilities
Credit Card Quota,"COP 48,490.00","June 18, 2024 5:21 AM",,Utilities
Cleaning Service,"COP 60,000.00","June 18, 2024 9:00 PM",,Utilities
DirectTVGo,"COP 49,000.00","June 21, 2024 6:13 PM",,Discretionary
Lunch@IlForno,"COP 86,000.00","June 22, 2024 7:46 PM",,Discretionary
Starbucks,"COP 20,900.00","June 22, 2024 9:29 PM",,Discretionary
Dinner@BuffaloGrill,"COP 76,263.00","June 23, 2024 12:22 AM",,Discretionary
Rent,"COP 1,000,000.00","June 24, 2024 5:57 AM",,Utilities
Galleta's Quota,"COP 100,000.00","June 24, 2024 6:28 AM",,Discretionary
Lourdes’ English Professor,"COP 670,000.00","June 24, 2024 7:27 AM",,Discretionary
Supplies@Pricesmart,"COP 116,800.00","July 1, 2024 5:02 PM",,Utilities
TV + Phone + Internet Service,"COP 133,353.00","July 3, 2024 7:32 AM",,Utilities
Bread,"COP 22,600.00","July 4, 2024 10:54 AM",,Discretionary
YouTube Premium,"COP 26,900.00","July 7, 2024 7:19 AM",,Utilities
Cleaning Service,"COP 60,000.00","July 9, 2024 9:00 PM",,Utilities
Pizza@FitChoices,"COP 47,000.00","July 14, 2024 1:04 AM",,Discretionary
Credit Card Quota,"COP 48,490.00","July 18, 2024 6:03 AM",,Utilities
Cleaning Service,"COP 60,000.00","July 23, 2024 9:00 PM",,Utilities
Cleaning Service,"COP 60,000.00","July 30, 2024 9:00 PM",,Utilities
Lunch@Porthos,"COP 83,000.00","August 3, 2024 6:50 PM",,Discretionary
SelvaMia,"COP 40,300.00","August 3, 2024 9:07 PM",,Discretionary
Takeout,"COP 41,000.00","August 4, 2024 4:43 AM",,Discretionary
Fuel For Nana,"COP 175,000.00","August 10, 2024 5:40 PM",,Utilities
Pizza@FitChoices,"COP 40,000.00","August 11, 2024 4:52 AM",,Discretionary
Eiffel Tower Tickets,"COP 323,829.00","August 12, 2024 1:40 AM",,Short-term
Electricity Service,"COP 700,000.00","August 17, 2024 5:13 AM",,Utilities
Opera Garnier Tickets,"COP 137,000.00","August 17, 2024 11:07 PM",,Short-term
Cleaning Service,"COP 60,000.00","August 20, 2024 9:00 PM",,Utilities
Power Bank,"COP 206,000.00","August 25, 2024 10:59 PM",,Discretionary
Usb-c to Usb-a cable,"COP 30,000.00","August 25, 2024 10:59 PM",,Discretionary
Cleaning Service,"COP 60,000.00","August 27, 2024 9:00 PM",,Utilities
Lunch@Archies,"COP 99,600.00","August 31, 2024 6:36 PM",,Discretionary
Reserva Opera Garnier (Rest),"COP 50,000.00","September 1, 2024 11:18 PM",,Discretionary
TV + Phone + Internet Service,"COP 133,353.00","September 3, 2024 7:18 AM",,Utilities
Cleaning Service,"COP 60,000.00","September 3, 2024 9:00 PM",,Utilities
Lunch@Herradura,"COP 55,000.00","September 7, 2024 6:21 PM",,Discretionary
Felicita’s Gifts,"COP 51,000.00","September 10, 2024 12:45 AM",,Sinking
Préstamo Cuota Extraordinaria,"COP 500,000.00","September 10, 2024 12:45 AM",,Discretionary
Shampoo and Conditioner,"COP 213,000.00","June 8, 2022 2:12 AM","January 1, 2022",Utilities
Mexican Lunch,"COP 19,000.00","June 8, 2022 2:12 AM","January 1, 2022",Discretionary
Mr. Bono,"COP 16,000.00","June 8, 2022 2:13 AM","January 1, 2022",Discretionary
Dispenser And Face Towels,"COP 17,000.00","June 8, 2022 2:18 AM","February 1, 2022",Discretionary
Atomizers,"COP 9,800.00","June 8, 2022 2:18 AM","February 1, 2022",Discretionary
Pet Donation,"COP 10,000.00","June 8, 2022 2:19 AM","February 1, 2022",Discretionary
Lourdes’ Shampoo And Deep Conditioner,"COP 50,000.00","June 8, 2022 2:20 AM","February 1, 2022",Utilities
Colombo Transport Fees,"COP 100,000.00","June 8, 2022 2:27 AM","March 1, 2022",Discretionary
Transport Medellin - Rionegro,"COP 86,000.00","June 8, 2022 2:43 AM","May 1, 2022",Discretionary
Guatapé Tour,"COP 188,000.00","June 8, 2022 2:44 AM","May 1, 2022",Discretionary
Cuadros,"COP 100,000.00","June 11, 2022 4:37 PM","January 1, 2021",Discretionary
Nazly,"COP 30,000.00","June 12, 2022 2:09 PM","June 1, 2021",Discretionary
Father’s Day Lunch,"COP 156,000.00","June 12, 2022 2:09 PM","June 1, 2021",Short-term
Pet Donation,"COP 10,000.00","June 12, 2022 3:36 PM","September 1, 2021",Discretionary
Daniela’s Birthday Card,"COP 70,000.00","June 12, 2022 3:38 PM","September 1, 2021",Sinking
Gloves,"COP 100,000.00","June 12, 2022 3:55 PM","October 1, 2021",Discretionary
Lourdes’ Trainer,"COP 200,000.00","June 12, 2022 4:09 PM","October 1, 2021",Discretionary
Camisetas De Lourdes Y Biberón De Galleta,"COP 20,000.00","July 31, 2022 4:53 PM","July 1, 2022",Discretionary
Cumpleaños de la mamá de Lourdes,"COP 285,000.00","September 1, 2022 3:30 AM",,Discretionary
Other Level Cakes,"COP 51,000.00","September 3, 2022 8:37 PM",,Discretionary
🍫,"COP 30,000.00","September 16, 2022 3:06 PM",,Discretionary
Esmalte Negro,"COP 3,000.00","October 9, 2022 5:17 PM",,Discretionary
Cuchillo Megro,"COP 8,900.00","October 22, 2022 10:15 PM",,Discretionary
Rosita's Gift,"COP 55,000.00","October 30, 2022 8:58 PM",,Sinking
Galleta Costume,"COP 10,000.00","November 19, 2022 9:45 PM",,Discretionary
Limpieza Odontológica,"COP 120,000.00","November 23, 2022 4:05 PM",,Utilities
Otterbox Case,"COP 90,000.00","November 24, 2022 12:59 PM",,Discretionary
iPhone 13,"COP 3,000,000.00","November 25, 2022 11:22 PM",,Discretionary
Gum Cavities,"COP 400,000.00","December 1, 2022 2:42 AM",,Utilities
Water Service (Old),"COP 100,000.00","December 2, 2022 10:27 PM",,Utilities
Withdrawal,"COP 20,000.00","December 4, 2022 1:40 PM",,Utilities
Limpiador De Ventanas,"COP 14,000.00","December 15, 2022 2:35 AM",,Short-term
Ambientador x2,"COP 14,000.00","December 15, 2022 2:58 AM",,Short-term
Toallas Húmedas De Limpieza,"COP 5,000.00","December 15, 2022 2:59 AM",,Short-term
Líquido Limpiador De Cocina,"COP 12,000.00","December 15, 2022 3:00 AM",,Short-term
Varsol,"COP 6,590.00","December 15, 2022 3:20 AM",,Utilities
Baygon,"COP 14,000.00","December 15, 2022 3:31 AM",,Utilities
Fior Di,"COP 95,300.00","December 16, 2022 2:02 AM",,Discretionary
Panel LeD 600L,"COP 62,700.00","December 16, 2022 8:23 PM",,Short-term
Licuadora,"COP 339,000.00","December 19, 2022 12:04 AM",,Short-term
Contenedor 0.5L x4,"COP 171,600.00","December 19, 2022 12:26 AM",,Utilities
Papeleras x2,"COP 65,800.00","December 27, 2022 12:19 AM",,Short-term
Comida,"COP 40,000.00","January 6, 2023 3:55 PM",,Discretionary
Pan De Queso,"COP 4,500.00","January 9, 2023 3:42 AM",,Utilities
Listerine,"COP 45,250.00","January 9, 2023 3:43 AM",,Utilities
Baterias x3,"COP 6,300.00","January 9, 2023 6:41 PM",,Utilities
Jabon Tocador,"COP 5,290.00","January 9, 2023 6:41 PM",,Utilities
Lavaloza,"COP 2,550.00","January 9, 2023 6:42 PM",,Utilities
Papel Higiénico Familia,"COP 18,900.00","January 9, 2023 7:34 PM",,Utilities
Uber de Lourdes,"COP 9,750.00","January 14, 2023 2:48 PM",,Discretionary
Juguete,"COP 6,000.00","January 14, 2023 11:31 PM",,Discretionary
Pan De Queso,"COP 4,500.00","January 15, 2023 12:35 AM",,Utilities
Lasaña Bolognesa,"COP 15,780.00","January 15, 2023 5:25 PM",,Utilities
Nachos x2,"COP 5,780.00","January 15, 2023 5:37 PM",,Utilities
Servilleta de L,"COP 3,490.00","January 15, 2023 5:38 PM",,Utilities
Pan Artesanal,"COP 5,890.00","January 15, 2023 5:39 PM",,Utilities
Patacon Pisao,"COP 3,990.00","January 15, 2023 5:40 PM",,Utilities
Lapiceros,"COP 3,590.00","January 23, 2023 12:03 AM",,Short-term
Deditos de Pescado,"COP 9,990.00","January 23, 2023 12:05 AM",,Utilities
Mr. Bono,"COP 10,278.00","January 29, 2023 2:18 AM",,Discretionary
Organizadores Rectangulares x7,"COP 35,000.00","January 29, 2023 2:21 AM",,Short-term
Cesta Apilable x4,"COP 28,000.00","January 29, 2023 2:22 AM",,Short-term
Contenedores de Gabeta,"COP 10,000.00","February 5, 2023 2:07 PM",,Utilities
Maíz Pyra,"COP 2,790.00","February 5, 2023 4:09 PM",,Utilities
Cuchillas De Faeitar x 10,"COP 30,000.00","February 5, 2023 4:10 PM",,Utilities
Ron Viejo De Caldas,"COP 23,000.00","February 5, 2023 4:20 PM",,Utilities
DLC Zelda,"COP 81,900.00","February 9, 2023 3:04 AM",,Discretionary
Curitas,"COP 1,950.00","February 13, 2023 1:44 PM",,Utilities
Electricity,"COP 174,920.00","February 18, 2023 3:50 PM",,Utilities
Starbucks,"COP 27,800.00","February 25, 2023 9:43 PM",,Discretionary
Pala arenero,"COP 8,500.00","February 25, 2023 9:44 PM",,Short-term
TV,"COP 3,100,000.00","March 4, 2023 6:46 PM",,Short-term
Mask Case,"COP 6,000.00","March 4, 2023 10:31 PM",,Discretionary
Vaporu + Apronax,"COP 20,000.00","March 4, 2023 10:37 PM",,Discretionary
Pastilla Inodoro,"COP 25,000.00","March 5, 2023 5:00 PM",,Utilities
Cable HDMI,"COP 39,900.00","April 26, 2023 1:52 AM",,Short-term
Empanaditas X2,"COP 7,450.00","April 26, 2023 1:55 AM",,Utilities
Pasta Dental,"COP 15,980.00","April 26, 2023 1:55 AM",,Utilities
Vino,"COP 22,990.00","April 26, 2023 1:55 AM",,Utilities
Sprite,"COP 3,290.00","April 26, 2023 2:00 AM",,Utilities
Salchichas en Lata,"COP 2,890.00","April 26, 2023 2:00 AM",,Utilities
Queso Provologne,"COP 8,000.00","April 26, 2023 2:01 AM",,Utilities
Flores,"COP 30,000.00","April 26, 2023 2:05 AM",,Discretionary
Atún en Aceite,"COP 38,900.00","April 26, 2023 2:10 AM",,Utilities
Uber,"COP 11,800.00","April 26, 2023 2:10 AM",,Discretionary
Fit Choices,"COP 38,200.00","June 17, 2023 9:33 PM",,Discretionary
Bisagras,"COP 13,000.00","June 21, 2023 12:19 PM",,Sinking
Starbucks,"COP 22,600.00","June 21, 2023 12:19 PM",,Discretionary
Daniela's Birthday,"COP 60,000.00","June 21, 2023 12:23 PM",,Sinking
Dollar City,"COP 55,000.00","June 21, 2023 12:24 PM",,Utilities
D1,"COP 100,000.00","June 24, 2023 2:41 PM",,Utilities
Nazly,"COP 65,000.00","June 25, 2023 9:38 PM",,Discretionary
Vestido,"COP 25,000.00","July 8, 2023 10:55 PM",,Discretionary
Arana Express,"COP 60,000.00","July 9, 2023 1:02 AM",,Discretionary
Noche del Terror Película,"COP 46,000.00","July 15, 2023 9:23 PM",,Discretionary
Memoria USB,"COP 25,000.00","July 16, 2023 1:03 AM",,Discretionary
Starbucks,"COP 39,000.00","July 22, 2023 9:59 PM",,Discretionary
D1,"COP 215,000.00","August 6, 2023 10:02 PM",,Utilities
Uber,"COP 9,000.00","August 24, 2023 12:45 PM",,Discretionary
Pushup Stands,"COP 20,000.00","August 27, 2023 12:33 AM",,Discretionary
Pizzafit,"COP 33,000.00","September 3, 2023 2:03 PM",,Sinking
D1,"COP 300,000.00","September 3, 2023 2:04 PM",,Utilities
Mimi,"COP 34,000.00","September 9, 2023 9:17 PM",,Discretionary
Taza,"COP 15,000.00","September 9, 2023 10:46 PM",,Discretionary
Historia de Amor,"COP 279,000.00","September 24, 2023 1:25 AM",,Discretionary
Le Colate,"COP 60,000.00","September 30, 2023 9:59 PM",,Discretionary
Burger Chef,"COP 96,000.00","October 1, 2023 2:40 AM",,Discretionary
D1,"COP 377,000.00","October 15, 2023 7:47 PM",,Utilities
Productos de Cabello,"COP 90,000.00","October 25, 2023 10:52 AM",,Utilities
Tiendas D1,"COP 339,360.00","November 25, 2023 5:09 PM",,Utilities
Uber,"COP 13,510.00","November 25, 2023 5:10 PM",,Discretionary
Rosita's Gift,"COP 70,000.00","December 2, 2023 1:22 PM",,Sinking
Diana's Gift Card,"COP 50,000.00","December 10, 2023 12:55 AM",,Sinking
Tequila Bottle (For Valentina's Birthday),"COP 50,000.00","December 19, 2023 1:45 AM",,Sinking
Gas Service,"COP 30,000.00","December 20, 2023 6:08 AM",,Utilities
Lunch With Lourdes,"COP 50,000.00","December 22, 2023 4:27 PM",,Discretionary
Coffee@Starbucks,"COP 33,000.00","January 6, 2024 8:34 PM",,Discretionary
Shaving Machine,"COP 167,000.00","January 6, 2024 9:45 PM",,Utilities
YouTube Premium,"COP 26,900.00","January 7, 2024 5:34 AM",,Utilities
Shakes,"COP 34,000.00","January 13, 2024 8:46 PM",,Discretionary
Uber,"COP 16,900.00","January 23, 2024 2:23 AM",,Discretionary
Lourdes’ English Professor,"COP 670,000.00","January 24, 2024 6:53 AM",,Discretionary
Supplies@Farmatodo,"COP 282,000.00","January 27, 2024 7:52 PM",,Utilities
Supplies@Dollar City,"COP 108,500.00","January 27, 2024 8:50 PM",,Utilities
Groceries@D1,"COP 550,000.00","February 18, 2024 8:05 PM",,Utilities
Rent,"COP 1,000,000.00","February 24, 2024 7:29 AM",,Utilities
Lourdes’ Pills,"COP 50,000.00","February 24, 2024 7:35 AM",,Discretionary
Galleta’s Necklace,"COP 18,000.00","March 3, 2024 12:01 AM",,Discretionary
Cleaning Service,"COP 60,000.00","March 5, 2024 9:00 PM",,Utilities
USB-C Cable,"COP 40,000.00","March 9, 2024 2:31 PM",,Discretionary
USB-C Adapter,"COP 20,000.00","March 17, 2024 8:52 PM",,Discretionary
Cleaning Service,"COP 60,000.00","April 2, 2024 9:04 PM",,Utilities
Dinner@BuffaloGrill,"COP 87,000.00","April 7, 2024 3:03 AM",,Discretionary
Fiber Pills,"COP 40,000.00","April 7, 2024 8:24 PM",,Discretionary
Farmatodo,"COP 56,000.00","May 10, 2024 2:36 AM",,Utilities
Didi,"COP 13,000.00","May 10, 2024 2:37 AM",,Discretionary
Lourdes' Mom Gift,"COP 150,000.00","May 11, 2024 9:56 PM",,Sinking
Beers,"COP 23,000.00","May 12, 2024 1:07 AM",,Discretionary
Gas Service,"COP 30,000.00","May 20, 2024 7:48 AM",,Utilities
Cleaning Service,"COP 60,000.00","May 21, 2024 9:00 PM",,Utilities
Galleta's Quota,"COP 100,000.00","May 24, 2024 7:08 AM",,Discretionary
Lourdes’ Pills,"COP 50,000.00","May 24, 2024 7:59 AM",,Discretionary
YouTube Premium,"COP 26,900.00","June 7, 2024 6:58 AM",,Utilities
Anniversary Dinner@Brisket,"COP 327,000.00","June 8, 2024 4:46 PM",,Discretionary
Groceries@PriceSmart,"COP 145,800.00","June 10, 2024 5:14 PM",,Utilities
Supplies@D1,"COP 65,000.00","June 21, 2024 5:54 PM",,Utilities
http://lobito.dev Domain,"COP 86,000.00","June 22, 2024 7:08 AM",,Discretionary
Bernabeu Tickets,"COP 365,395.00","June 22, 2024 5:42 PM",,Short-term
Supplies@FarmaTodo,"COP 110,000.00","June 22, 2024 11:30 PM",,Utilities
Beer,"COP 56,540.00","June 23, 2024 12:41 AM",,Discretionary
Cleaning Service,"COP 60,000.00","July 2, 2024 9:00 PM",,Utilities
Water Service,"COP 120,000.00","July 13, 2024 7:32 AM",,Utilities
Cellphone Plan,"COP 82,000.00","July 16, 2024 6:58 AM",,Utilities
Gas Service,"COP 30,000.00","July 20, 2024 7:15 AM",,Utilities
Lourdes’ English Professor,"COP 670,000.00","July 24, 2024 5:45 AM",,Discretionary
Groceries,"COP 224,000.00","July 28, 2024 6:54 PM",,Utilities
TV + Phone + Internet Service,"COP 133,353.00","August 3, 2024 5:40 AM",,Utilities
Supplies@Olimpica,"COP 25,000.00","August 14, 2024 11:56 AM",,Utilities
Paris Night Tour Tickets,"COP 111,762.00","August 20, 2024 12:44 AM",,Short-term
Lourdes’ Pills,"COP 50,000.00","August 24, 2024 7:31 AM",,Discretionary
Lourdes’ English Professor,"COP 670,000.00","August 24, 2024 7:36 AM",,Discretionary
Préstamo Cuota Extraordinaria,"COP 500,000.00","September 7, 2024 2:58 AM",,Discretionary
Limpieza Dental,"COP 150,000.00","September 7, 2024 3:01 AM",,Discretionary
Loan to Andres,"COP 400,000.00","September 8, 2024 4:05 PM",,Discretionary
Cleaning Service,"COP 60,000.00","September 10, 2024 9:00 PM",,Utilities
Mr Bono,"COP 15,100.00","September 14, 2024 9:15 PM",,Discretionary
"Travel Supplies ","COP 35,300.00","September 14, 2024 10:08 PM",,Discretionary
Love and Friendship Dinner,"COP 184,000.00","September 15, 2024 1:20 AM",,Discretionary
Cellphone Plan,"COP 82,000.00","September 16, 2024 6:49 AM",,Utilities
Electricity Service,"COP 700,000.00","September 17, 2024 5:32 AM",,Utilities
Cleaning Service,"COP 60,000.00","September 17, 2024 9:00 PM",,Utilities
Credit Card Quota,"COP 48,490.00","September 18, 2024 6:25 AM",,Utilities
Gas Service,"COP 30,000.00","September 20, 2024 5:45 AM",,Utilities
Hair Products,"COP 71,000.00","September 21, 2024 8:10 PM",,Utilities
Dinner@Chuzitos,"COP 58,000.00","September 22, 2024 12:04 AM",,Discretionary
Supplies@DollarCity,"COP 35,000.00","September 22, 2024 12:56 AM",,Utilities
Galleta's Quota,"COP 100,000.00","September 24, 2024 5:16 AM",,Discretionary
Apple One,"COP 83,900.00","September 24, 2024 5:22 AM",,Utilities
