Description,Amount,Created Time,Original Date,Type
Vertical Stand,"COP 170,000.00","July 2, 2022 2:27 PM","June 1, 2022",Discretionary
Credit Card Handling Fee,"COP 73,200.00","July 2, 2022 2:29 PM","June 1, 2022",Discretionary
Heladería Americana,"COP 36,000.00","July 31, 2022 4:47 PM","July 1, 2022",Discretionary
Mr. Bono,"COP 7,500.00","July 31, 2022 4:49 PM","July 1, 2022",Discretionary
Topping Brownies,"COP 20,000.00","July 31, 2022 4:56 PM","July 1, 2022",Discretionary
Miniso: Goero De Satin + Magnetic Phone Holder,"COP 32,000.00","July 31, 2022 5:03 PM","July 1, 2022",Discretionary
Crepes And Waffles,"COP 34,000.00","July 31, 2022 5:05 PM","July 1, 2022",Discretionary
Straps,"COP 67,000.00","July 31, 2022 5:06 PM","July 1, 2022",Discretionary
BodyTech,"COP 78,800.00","July 31, 2022 5:07 PM","July 1, 2022",Discretionary
🐻 Repairs,"COP 1,000,000.00","July 31, 2022 5:10 PM","July 1, 2022",Discretionary
Pollo Napolitano,"COP 46,000.00","July 31, 2022 5:11 PM","July 1, 2022",Discretionary
Mimi,"COP 35,000.00","July 31, 2022 5:12 PM","July 1, 2022",Discretionary
USB-C Cable + 20W Charger,"COP 218,000.00","July 31, 2022 5:15 PM","July 1, 2022",Discretionary
http://Lobito.dev domain,"COP 89,000.00","August 8, 2022 1:39 PM","July 1, 2022",Sinking
Laboratorio,"COP 25,000.00","August 14, 2022 9:39 PM",,Discretionary
Skala Babosa y Almidón de Maíz,"COP 71,000.00","August 17, 2022 1:37 AM",,Discretionary
Lourdes SOMO Course,"COP 60,000.00","August 18, 2022 3:10 PM",,Discretionary
Balón De Lourdes,"COP 30,000.00","August 22, 2022 1:56 AM",,Discretionary
Chicken Tenders,"COP 20,000.00","August 27, 2022 1:25 PM",,Discretionary
Café (Viva),"COP 21,400.00","August 27, 2022 1:25 PM",,Discretionary
Loe,"COP 56,400.00","August 27, 2022 1:26 PM",,Discretionary
Nazly,"COP 45,000.00","August 27, 2022 1:26 PM",,Discretionary
Crispetas + Agua,"COP 22,500.00","August 27, 2022 1:27 PM",,Discretionary
Uber a la Matriarca,"COP 9,800.00","August 27, 2022 3:08 PM",,Discretionary
Galleta Monthly Quota,"COP 65,000.00","August 30, 2022 2:25 AM",,Discretionary
Cumpleaños de la mamá de Lourdes,"COP 285,000.00","September 1, 2022 3:29 AM",,Discretionary
Uber de regreso del cumpleaños de la mamá de Lourdes,"COP 9,800.00","September 3, 2022 8:59 PM",,Discretionary
Individuales Negros,"COP 40,000.00","September 10, 2022 10:14 PM",,Discretionary
