Name,Amount,Created time
Virtual Inversion,"COP 1,500,000.00","March 10, 2024 4:14 AM"
"Virtual inversion ","COP 1,500,000.00","April 1, 2024 1:53 AM"
"Virtual inversion ","COP 1,000,000.00","April 1, 2024 1:53 AM"
Virtual Inversion,"COP 500,000.00","May 1, 2024 3:00 AM"
Virtual Inversion,"COP 1,000,000.00","May 25, 2024 11:08 PM"
Nu Deposit,"COP 3,000,000.00","July 3, 2024 12:32 AM"
"Nu deposit ","COP 1,000,000.00","July 28, 2024 12:21 AM"
Nu Deposit,"COP 400,000.00","November 9, 2024 1:14 AM"
Nu Deposit,"COP 1,000,000.00","November 9, 2024 1:14 AM"
