Name,Multi-select,Original Name
Jabón De Ropa,Alkosto,Detergent
Cloro Multicolor,Clorox,Bleach
Cloro,Clorox,Bleach
Suavizante,Alkosto,Softener
Limpia Piso,BrillaKing,
