Name,Brand,Image,Price,Slug
Yogurt Griego De Sabores Surtidos,Latti,,"COP 3,850.00",yogurt-griego-sabores-surtidos-latti-160-g-12002515
Frijoles Cabeza Negra (500g),Olímpica,,"COP 3,620.00",frijol-olimpica-cabeza-negra-500-g-7701008001183-2000160
Carne Molida (1KG),Olímpica,,"COP 25,950.00",res-carne-molida-esp-24010207
Ahuyama (1 KG),Fruvecol,,"COP 3,900.00",
Cebolla Roja (1 KG),Fruvecol,,"COP 5,500.00",
Cebolla Cab Blanca (1 KG),Fruvecol,,"COP 3,800.00",
Cilantro (1 KG),Fruvecol,,"COP 16,000.00",
Corozo (1 UND),Fruvecol,,COP 900.00,
Mandarina (1 KG),Fruvecol,,"COP 8,000.00",
Mazorca (3 UND),Fruvecol,,COP 600.00,
Papa Criolla (1 KG),Fruvecol,,"COP 5,200.00",
Pimentón Rojo (1 KG),Fruvecol,,"COP 9,580.00",
Pepino (1KG),Fruvecol,,"COP 2,400.00",
Pimentón Verde (1 KG),Fruvecol,,"COP 5,000.00",
Piña (1 UND),Fruvecol,,"COP 1,000.00",
Rábanos (1 KG),Fruvecol,,"COP 17,000.00",
Tomate (1 KG),Fruvecol,,"COP 4,600.00",
Coliflor (1 KG),Fruvecol,,"COP 11,400.00",
Yuca (1KG),Fruvecol,,"COP 3,900.00",
Banano Uraba Verde (1 KG),Fruvecol,,"COP 2,900.00",
Zanahoria (1 KG),Fruvecol,,"COP 4,400.00",
Banano (1 KG),Fruvecol,,"COP 2,900.00",
Cábano (4 UND),Viandé,,"COP 2,890.00",
Parfait,Latti,,"COP 4,850.00",parfait-sabores-surtidos-latti-160-gr-12002509
Pimienta Molida (28g),Speciaria,,"COP 1,990.00",
Clavo Entero (20g),Speciaria,,"COP 2,190.00",clavo-entero-speciaria-20-g-12003894
Aceite Spray (180g),Don Olio,,"COP 11,990.00",aceite-spray-canola-don-olio-180-ml-12001562
Deditos De Queso (250g),Backerey,,"COP 7,350.00",dedito-de-queso-backerei-10-und-250-g-12002739
Arepa Con Queso (400g),Masmaí,,"COP 4,690.00",arepa-con-queso-mozzarella-masmai-400-grs-12000030
Spaghetti (500g),Deliziare,,"COP 3,990.00",spaghetti-deliziare-500-g-12000286
Arroz (3KG),Diana,,"COP 14,550.00",arroz-diana-3-kg-7702511000038-518233
Sal (1 Kg),Refisal,,"COP 2,290.00",sal-refisal-1000-g-12002874
Ajo x1,Olímpica,,"COP 14,980.00",ajo
Zuccini,Fruvecol,,"COP 2,000.00",
Azúcar (1Kg),Riopaila,,"COP 4,790.00",azucar-blanca-1000-grs-12000249
Mantequilla Sin Sal (250g),Alpina,,"COP 12,290.00",mantequilla-con-sal-alpina-250-g-12001850
Mantequilla (125g),La Fina,,"COP 2,610.00",margarina-la-fina-125-g-7702161001003-14331
Salchichón Cerveroni (900g),Zenú,,"COP 20,900.00",salchichon-zenu-cerveroni-900-g-7701101246894-1253062
Salchichas Rancheras x14,Ranchera,,"COP 21,900.00",salchicha-ranchera-480-g-7701101247266-1362715
Suero Costeño (400g),Coolechera,,"COP 8,250.00",sueo-costeno-coolechea-pasteuiz-d-pack-7702810003488-736424
Pan Baguette (315g),Olímpica,,"COP 5,500.00",pan-frances-baguet-olimpica-315-g-25060997--35356
Pan De Hamburguesa x6 (525g),Bimbo,,"COP 8,800.00",pan-bimbo-super-hamburguesa-x-6-un-525g-7705326076809--2138839
Pan Súper Perro (400g),Olímpica,,"COP 4,500.00",pan-olimpica-sup-peo-400g-7701008000353-2006635
Galletas Oreo,Oreo,,"COP 12,390.00",galleta-oreo-original-bolsa-432-g-7590011151110--107569
Pony Malta x6 (200ml),Bavaria,,"COP 7,700.00",beb-pony-malta-pet-200-ml--x-6
Crema De Leche (180g),Alquería,,"COP 5,890.00",crem-leche-alqueria-semi-ent-tetra-180g
Azúcar (2.5Kg),Olímpica,,"COP 11,000.00",azucar-refinada-olimpica-2-5-kg-7701008001121-2000152
Sal (1Kg),Refisal,,"COP 2,350.00",sal-refisal-1-kg
Café Molido Descafeinado (250g),Café Sello Rojo,,"COP 14,800.00",cafe-sello-rojos-descafeinado-250-g-7702032252770-79233
Ramen Carne,Maruchan,,"COP 3,500.00",sopa-maruchan-sob-carne-res-85-g-41789002922-1607796
Ramen Pollo (85g),Maruchan,,"COP 3,100.00",sopa-instantanea-maruchan-sobre-sabor-pollo-85-g-41789002915--1607794
